| benchmark                | size  | area_after | depth | delay_after | multioutput | runtime | cec  |
|--------------------------|-------|------------|-------|-------------|-------------|---------|------|
| fma_share.comb_circt.aig |  2910 |     265.17 |    44 |      502.29 |          49 |    0.65 | true |
| fma_share.comb_yosys.aig |  2771 |     268.95 |    48 |      534.72 |          66 |    0.58 | true |
| fmaa.comb_circt.aig      |  3545 |     349.47 |    39 |      445.87 |          76 |    0.92 | true |
| fmaa.comb_yosys.aig      |  3489 |     297.87 |    44 |      497.98 |         148 |    0.83 | true |
| fma.comb_circt.aig       |  2574 |     241.84 |    39 |      430.29 |          50 |    0.54 | true |
| fma.comb_yosys.aig       |  2498 |     227.68 |    42 |      472.14 |          81 |    0.50 | true |
| blend.comb_circt.aig     |  4589 |     361.08 |    57 |      616.96 |         186 |    0.93 | true |
| blend.comb_yosys.aig     |  5175 |     397.19 |    56 |      614.74 |         214 |    1.16 | true |
| add_three.comb_circt.aig |   294 |      25.75 |    17 |      202.57 |          11 |    0.05 | true |
| add_three.comb_yosys.aig |   281 |      21.67 |    19 |      223.86 |          12 |    0.05 | true |
| dot_product.comb_circt.aig|  4755 |     421.53 |    52 |      580.59 |         122 |    0.99 | true |
| dot_product.comb_yosys.aig|  4948 |     421.54 |    50 |      557.33 |         151 |    1.03 | true |
